# valid, vars, cons, qubits, optimal, jobs, depth, problem

100, 3, 3, 3, 100, None, None, 3

100, 12, 20, 12, 100, None, None, 3

38, 27, 78, 59, 100, None, None, 3

1, 48, 204, 178, 100, None, None, 3

0, 75, 425, 432, 100, None, None, 3

0, 108, 768, 842, 100, None, None, 3

0, 147, 1232, 1705, 100, None, None, 3

0, 192, 1896, 2885, 100, None, None, 3

0, 243, 2763, 4477, 100, None, None, 3

0, 30, 413, 278, 100, None, None, 3














1, 48, 180, 177, 100, None, None, 3

1, 48, 152, 156, 100, None, None, 3

1, 48, 128, 153, 100, None, None, 3

12, 48, 104, 100, 100, None, None, 3

19, 48, 84, 92, 100, None, None, 3

49, 48, 60, 56, 100, None, None, 3

23, 48, 36, 56, 100, None, None, 3

60, 48, 24, 53, 100, None, None, 3
