# valid, vars, cons, qubits, optimal, jobs, depth, problem
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

1, 3, 6, 3, 1, 29, 22, 3
1, 6, 12, 6, 1, 29, 41, 3

1, 9, 18, 11, 0, 26, 59, 3
1, 12, 24, 13, 0, 35, 78, 3
0, 15, 30, 19, 0, 34, 106, 3
