# valid, vars, cons, qubits, optimal, jobs, depth, problem

88, 12, 15, 16, 100, None, None, 4

66, 24, 38, 38, 100, None, None, 4

53, 36, 61, 67, 100, None, None, 4

29, 48, 84, 88, 100, None, None, 4

33, 60, 107, 94, 100, None, None, 4

34, 72, 130, 120, 100, None, None, 4

5, 84, 169, 155, 100, None, None, 4

4, 96, 192, 183, 100, None, None, 4

2, 108, 215, 227, 100, None, None, 4

3, 120, 238, 263, 100, None, None, 4

1, 132, 261, 271, 100, None, None, 4

0, 148, 285, 365, 100, None, None, 4

1, 164, 309, 327, 100, None, None, 4

0, 180, 333, 349, 100, None, None, 4

1, 200, 370, 425, 100, None, None, 4

0, 220, 415, 508, 100, None, None, 4

0, 240, 460, 551, 100, None, None, 4

0, 260, 505, 636, 100, None, None, 4

0, 300, 615, 740, 100, None, None, 4

0, 340, 725, 981, 100, None, None, 4

0, 380, 835, 1261, 100, None, None, 4

0, 420, 945, 1197, 100, None, None, 4

5, 48, 108, 113, 100, None, None, 4

2, 48, 136, 149, 100, None, None, 4

1, 48, 160, 158, 100, None, None, 4





