# valid, vars, cons, qubits, optimal, jobs, depth, problem
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

1, 3, 3, 3, 1, 33, 20, 4
1, 6, 6, 6, 1, 35, 45, 4
1, 9, 9, 12, 1, 26, 69, 4

0, 12, 12, 13, 1, 32, 73, 4
0, 15, 15, 16, 1, 29, 92, 4
