# valid, vars, cons, qubits, optimal, jobs, depth, problem
0       0       0       0       0       0       0       0       0       0       0       0       0   0   0   0

1, 12, 15, 12, 1, 31, 85, 6

0, 24, 38, 27, 1, 26, 247, 6
0, 36, 61, 41, 1, 34, 278, 6
0, 48, 84, 51, 1, 33, 580, 6
0, 60, 107, 65, 1, 33, 842, 6
