# valid, vars, cons, qubits, optimal, jobs, depth, problem
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

1, 24, 66, 27, 1, 32, 176, 2
1, 12, 72, 12, 1, 31, 178, 2
1, 12, 60, 13, 1, 30, 158, 2
1, 12, 55, 13, 1, 31, 145, 2
1, 12, 49, 13, 1, 28, 125, 2
1, 12, 43, 13, 1, 31, 127, 2
1, 12, 36, 13, 1, 33, 119, 2
1, 21, 58, 29, 1, 35, 152, 2
1, 18, 46, 18, 1, 29, 108, 2
1, 15, 38, 15, 1, 27, 108, 2
1, 12, 30, 13, 1, 30, 66, 2
1, 9, 21, 12, 1, 32, 50, 2
1, 6, 14, 6, 1, 28, 45, 2
1, 3, 6, 3, 1, 31, 22, 2

0, 37, 99, 43, 0, 34, 171, 2
0, 33, 90, 33, 0, 33, 199, 2
1, 30, 82, 32, 0, 31, 245, 2
1, 27, 74, 28, 0, 30, 152, 2
1, 12, 75, 12, 0, 29, 176, 2
1, 12, 66, 13, 0, 27, 195, 2










































0, 60, 160, 65, 0, 32, 307, 1
0, 55, 145, 55, 0, 31, 305, 1
0, 50, 130, 50, 0, 28, 277, 1
0, 45, 117, 49, 0, 31, 231, 1
0, 41, 108, 41, 0, 32, 210, 1
